데이터 추출일 : 2026-07-21 16:36:43
약국명,대표전화,도로명주소,지번주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
대성약국,063-285-3276,전북특별자치도 전주시 완산구 문화광장로 28-1,전북특별자치도 전주시 완산구 서노송동 616-6,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
대우당약국,02-808-8960,서울특별시 금천구 은행나무로 34 (시흥동),서울특별시 금천구 시흥5동 921,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,13:00~24:00,19:00~24:00,19:00~24:00
대우약국,042-256-1058,"대전광역시 중구 중앙로 125-1, (선화동)",대전광역시 중구 선화1동 66-3,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00,08:00~25:00
대웅약국,031-248-6700,경기도 수원시 장안구 경수대로 998 (송죽동),,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,12:00~22:00,12:00~23:00
대유약국,02-379-4415,서울특별시 서대문구 모래내로 359 (홍은동),,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00
대자연약국,02-474-7576,"서울특별시 강동구 구천면로 291, (천호동)",서울특별시 강동구 천호2동 294-22,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,15:00~25:00,22:00~25:00
대풍약국,02-2252-3944,서울특별시 중구 동호로11길 43 (신당동),,09:00~25:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~25:00,11:00~25:00,22:00~25:00
대학당약국,031-262-5666,"경기도 용인시 수지구 풍덕천로 155, 수지마을동보아파트 상가동 106호 (풍덕천동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~16:00,09:00~25:00,09:00~25:00
대학약국,031-792-2505,경기도 하남시 하남대로739번길 80,경기도 하남시 신장1동 436-1,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,20:00~25:00,09:00~25:00
대형약국,031-243-7726,경기도 수원시 장안구 파장로 78 (파장동),,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,09:00~21:00,09:00~21:00,08:00~22:00
대형춘천백화점약국,033-261-8878,"강원특별자치도 춘천시 신동면 김유정로 1668, H동 1층",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,09:00~22:00,09:00~23:00
대화약국,031-745-4422,"경기도 성남시 분당구 중앙공원로39번길 7, 삼성.한신근린상가 1층 129-1호 (서현동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,18:00~25:00,
대황약국,032-884-4762,인천광역시 제물포구 제물량로24번길 6-34 (신흥동3가),,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59
더밝은약국,02-2281-7923,"서울특별시 성동구 마조로9길 15, 1층 (행당동)",,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,12:00~22:00,12:00~22:00
더샵스타시티약국,02-2024-1311,"서울특별시 광진구 아차산로 272 (자양동, 스타시티쇼핑몰)",서울특별시 광진구 자양동 227-7 더샵스타시티 ,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
더슬림한약국,062-373-0059,전남광주통합특별시 서구 치평로 32 1층,광주광역시 서구 치평동 1178 1층,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
더클래식약국,02-455-4565,"서울특별시 광진구 능동로 90, 1층 104-2호 (자양동, 더클래식500)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
더편한365모란약국,031-721-3650,"경기도 성남시 수정구 성남대로 1169, 남영빌딩 2층 (수진동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
덕양메디칼약국,031-938-1726,"경기도 고양시 덕양구 백양로 51, 104호 (화정동)",,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00
덕진약국,031-962-8702,경기도 고양시 덕양구 유산길 10 (내유동),,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,17:00~22:00,18:00~22:00
도담약국,061-727-2130,"전남광주통합특별시 순천시 장선배기1길 9, 1층 (조례동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~19:00,09:00~16:00,09:00~13:00,
도담약국,054-451-5133,"경상북도 구미시 신시로 71, 2층 201호 (형곡동)",,09:00~20:00,09:00~20:00,09:00~20:00,09:00~23:00,09:00~20:00,10:00~18:00,09:00~13:00,09:00~13:00
도룡365약국,042-867-3879,"대전광역시 유성구 엑스포로123번길 27-22, 제1층 제6호 (도룡동)",,11:00~23:59,11:00~23:59,11:00~23:59,11:00~23:59,11:00~23:59,11:00~23:59,11:00~23:59,11:00~23:00
도마태평양약국,042-528-7774,"대전광역시 서구 배재로 182-1, 1층 (도마동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~01:00,13:30~01:00,18:00~25:00
도안365약국,050-713-7194,"대전광역시 유성구 상대복용로29번길 52, 상가동 지하1층 1-55호 (상대동, 대전아이파크시티 1단지)",,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00
도청호랑이약국,054-805-7117,"경상북도 예천군 호명읍 새움1로 25, 기인타워 101호",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,10:00~24:00,10:00~24:00
도평약국,054-872-9866,경상북도 청송군 현동면 청송로 2657,,08:30~23:00,08:30~20:00,08:30~23:00,08:30~20:00,08:30~20:00,09:00~19:00,09:00~19:00,
동구시장심야약국,053-743-2223,"대구광역시 동구 화랑로 123, 1층 115호 (효목동, 유림아파트)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,12:00~24:00,12:00~24:00,12:00~24:00,09:00~24:00
동대구365약국,053-753-1897,"대구광역시 동구 동부로30길 41, 1층 (신천동)",,17:00~24:00,17:00~24:00,17:00~24:00,17:00~24:00,17:00~24:00,14:00~24:00,14:00~24:00,17:00~24:00
동산약국,054-783-2273,경상북도 울진군 울진읍 읍내8길 14,,08:20~23:00,08:20~23:00,08:20~23:00,08:20~23:00,08:20~23:00,08:20~23:00,08:20~23:00,08:20~23:00
동신약국,051-582-5418,"부산광역시 금정구 금강로 180, 1층 (장전동)",부산광역시 금정구 장전3동 599-24,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,21:00~25:00,21:00~24:00
동암프라자약국,032-421-8642,"인천광역시 부평구 열우물로 50, (십정동)",인천광역시 부평구 십정2동 402-8,00:00~25:00,00:00~25:00,00:00~25:00,00:00~25:00,00:00~25:00,00:00~24:00,00:00~24:00,00:00~25:00
동원당약국,051-636-3334,부산광역시 동구 범일로90번길 16-1 (범일동),부산광역시 동구 범일2동 572-4,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,08:00~25:00,13:00~25:00,12:00~25:00
동의삼성약국,02-400-2636,서울특별시 송파구 거마로22길 49  (마천동),서울특별시 송파구 마천동 176-23 범양빌딩 ,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,13:00~22:20,
동의세란약국,031-319-2539,"경기도 시흥시 봉우재로 10 (정왕동, 세란약국)",,09:30~25:00,09:30~25:00,09:30~25:00,09:30~25:00,09:30~25:00,09:30~25:00,18:00~25:00,18:00~25:00
동이약국,042-673-0108,"대전광역시 대덕구 대전로 1123, (오정동)",대전광역시 대덕구 오정동 275-15,07:00~25:00,07:00~25:00,07:00~25:00,07:00~25:00,07:00~25:00,07:00~25:00,07:00~25:00,07:00~25:00
동탄행운약국,070-8848-0388,"경기도 화성시 동탄구 동탄신리천로4길 47, B101호 (신동, 힐스테이트 동탄포레)",,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00
두꺼비약국,054-247-2455,경상북도 포항시 북구 불종로 57 (상원동),경상북도 포항시 북구 상원동   448-7 ,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~26:00,09:00~01:00,09:00~01:00,09:00~26:00
두타몰레디영약국,02-3398-4050,"서울특별시 중구 장충단로 275, 두산타워빌딩 지하2층 2,3호 (을지로6가)",,10:30~24:00,10:30~24:00,10:30~24:00,10:30~24:00,10:30~24:00,10:30~24:00,10:30~24:00,10:30~24:00
둔촌365약국,070-8845-3650,"서울특별시 강동구 양재대로 1313, 1층 3호 (성내동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
따뜻한약국,031-904-0642,"경기도 고양시 일산동구 정발산로 47, 웅신아트 113호 (장항동)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:00,10:00~22:30,10:00~22:30,10:00~22:30
라라약국,054-859-3335,"경상북도 안동시 서동문로 7, 1층 101호 (평화동)",,08:30~17:40,08:30~23:00,08:30~13:00,08:30~17:40,08:30~17:40,08:30~13:00,,
라온약국,062-946-0325,전남광주통합특별시 광산구 송도로 160 (도산동),,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
라인영약국,02-3789-5552,"서울특별시 중구 명동8길 34, 1~2층 (명동2가)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
랄랄라약국,070-8845-3448,"경기도 수원시 팔달구 덕영대로 924, 수원역 분당선지하상가 4호 (매산로1가)",,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
럭키약국,031-832-2340,경기도 연천군 전곡읍 전곡로 161 (전곡읍),,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
레디영약국,02-332-7636,"서울특별시 마포구 홍익로6길 8, 지1층 (동교동)",,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
레몬약국,031-246-7575,"경기도 수원시 팔달구 덕영대로 905, 아이메카 상가 지하1층 B10호 (매산로1가)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,09:00~16:30,,
레오심야약국,070-8888-4319,"경기도 고양시 일산동구 경의로 25-53, 동문굿모닝힐II 204동 1층 105호 (백석동)",,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,13:00~23:00,17:00~23:00,13:00~23:00
로뎀온누리약국,061-278-6705,전남광주통합특별시 목포시 청호로 154 (산정동),전라남도 목포시 산정동 1773-19,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,18:00~24:00,08:30~24:00
마곡아임약국,050-71377-8032,"서울특별시 강서구 마곡중앙5로 6, 마곡나루역보타닉푸르지오시티 1층 102호 (마곡동)",,07:50~23:00,07:50~23:00,07:50~23:00,07:50~23:00,07:50~23:00,10:00~23:00,10:00~23:00,10:00~23:00
마린약국,050-71457-8054,"부산광역시 해운대구 구남로 39, 1층 일부호 (중동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
마장백화점약국,02-962-1161,"서울특별시 동대문구 고산자로 410, 1층 (용두동)",서울특별시 동대문구 용두동 27-4,06:40~23:00,06:40~23:00,06:40~23:00,06:40~23:00,06:40~23:00,06:40~23:00,08:00~23:00,08:00~23:00
마트종로약국,031-651-9631,경기도 평택시 영신로 29,경기도 평택시 지제동 50 이마트 이마트 내,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~22:00,,
마포구청역약국,0507-1391-2252,"서울특별시 마포구 월드컵로 지하190, 마포구청역 지하1층 620-102호 (성산동)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,,12:00~23:00,
만성365약국,063-906-2010,"전북특별자치도 전주시 덕진구 만성중앙로 51, 104호 (만성동)",,10:30~24:00,10:30~24:00,10:30~24:00,10:30~24:00,10:30~24:00,10:30~24:00,10:30~24:00,10:30~24:00
만종대형약국,033-731-1365,강원특별자치도 원주시 호저면 원문로 631,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~22:00,08:00~22:00,08:00~23:00
맑음약국,044-272-8898,"세종특별자치시 보듬3로 95, 해피라움3 107호 (아름동)",,09:00~22:00,09:00~22:00,09:00~22:00,09:00~23:00,09:00~23:00,09:00~21:00,09:00~21:00,09:00~21:00
매일25시약국,050-71428-1451,"경상북도 구미시 인동26길 22, 초석빌딩 (진평동)",,16:00~25:00,16:00~25:00,16:00~25:00,16:00~25:00,16:00~25:00,16:00~25:00,16:00~25:00,16:00~25:00
매일여는달빛온누리약국,02-6472-3651,"서울특별시 송파구 위례북로1길 22, 106호 (거여동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~21:00,09:00~21:00,09:00~21:00
매일여는약국,02-2061-3650,서울특별시 양천구 목동동로 233-1 (목동) ,,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
매일여는약국,02-2132-8365,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 B1094호 (상암동)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
매일여는온누리약국,02-3432-0365,"서울특별시 송파구 백제고분로 187, 1층 103,104호 (잠실동, 파크인수)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
매일여는온누리약국,032-435-1777,"인천광역시 남동구 예술로 198, CGV 홈플러스 (구월동)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~20:00,10:00~22:00,10:00~22:00
매일열린약국,02-2693-3650,"서울특별시 양천구 신월로 280, 1층 101호 (신정동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
메디칼세계로약국,031-657-8078,경기도 평택시 중앙로 11 (통복동),,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~25:00,08:30~25:00,09:00~22:00
메디칼큰온누리약국,055-283-0990,"경상남도 창원시 성산구 원이대로 664, 창원메디컬 (상남동)",,07:30~23:00,07:30~23:00,07:30~23:00,07:30~23:00,07:30~23:00,07:30~23:00,09:00~23:00,09:00~18:00
메디팜365약국,031-552-7071,"경기도 구리시 검배로6번길 3 , 1층 (수택동)","경기도 구리시 수택동 405-1 , 1층",10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,09:00~25:00,10:00~25:00,
메디팜보명당약국,054-555-2555,경상북도 문경시 중앙로 128 (점촌동),,08:00~21:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~21:00,09:00~21:00,08:00~19:30
메디팜엄마손약국,055-263-7743,경상남도 창원시 성산구 원이대로580번길 16  (중앙동),경상남도 창원시 성산구 중앙동 70-9 성한빌딩 ,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,19:00~24:00
메디팜열린약국,031-222-8075,"경기도 수원시 팔달구 권광로 146, 벽산그랜드코아 108호 (인계동)",,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~24:00,10:00~23:00,10:00~21:00
메디팜우호약국,054-272-4523,경상북도 포항시 북구 두호로 26 (두호동),,09:00~20:00,09:00~23:00,09:00~23:00,09:00~20:00,09:00~23:00,09:00~18:00,,
메디팜유리행약국,051-971-6264,부산광역시 강서구 낙동북로 74 (강동동),,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,12:00~25:00,22:00~25:00,22:00~25:00
메디팜한대약국,031-438-4181,"경기도 안산시 상록구 광덕1로 376, (이동)",경기도 안산시 상록구 이동 716-9,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30
메디팜해성약국,032-613-5028,"경기도 부천시 조마루로386번길 61, (원미동)",경기도 부천시 원미구 원미1동 90-8,09:30~23:30,09:30~23:30,09:30~23:30,09:30~23:30,09:30~23:30,09:30~22:30,09:30~22:30,10:00~23:30
명동 친한 약국,02-757-7179,"서울특별시 중구 퇴계로 125, 1층 (충무로2가)",,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
명동더서울약국,02-3789-9844,"서울특별시 중구 명동길 27, 1~3층 (명동1가)",,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00
명동레디영약국,02-318-5973,"서울특별시 중구 명동8나길 7, 1층 (충무로1가)",,10:00~24:30,10:00~24:30,10:00~24:30,10:00~24:30,10:00~24:30,10:00~24:30,10:00~24:30,10:00~24:30
명동베리뉴약국,0507-1413-3481,"서울특별시 중구 명동8길 18, 1층 외 1개소 (명동2가)",,10:00~23:30,10:00~23:30,10:00~23:30,10:00~23:30,10:00~23:30,10:00~23:30,10:00~23:30,10:00~23:30
명동뷰티랩약국,02-777-3347,"서울특별시 중구 명동10길 35-3, 삼영타워 1층 (충무로2가)",,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30
명동타운레디영약국,070-7773-9325,"서울특별시 중구 명동8가길 31, 1,2,3층 (충무로2가)",,10:00~24:30,10:00~24:30,10:00~24:30,10:00~24:30,10:00~24:30,10:00~24:30,10:00~24:30,10:00~24:30
명동하나약국,050-71300-7079,"서울특별시 중구 명동8길 32, 1층 (명동2가)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
명동하이약국,070-4140-8275,서울특별시 중구 명동7길 14  (명동1가),서울특별시 중구 명동1가 46-2 ,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,11:00~23:00,11:00~23:00,
명인약국,064-727-1610,"제주특별자치도 제주시 연북로 511, 에이플렉스 1층 (아라일동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
모두약국,02-508-0429,"서울특별시 강남구 테헤란로 지하 156, B2층 219호 (역삼동)",,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:30~23:00,09:00~23:00,09:00~23:00,10:00~20:00
모범약국,031-263-7128,"경기도 용인시 수지구 수지로 203, E 마트 지하1층 (신봉동)",,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~21:00,,
목동제일큰약국,02-2608-8922,"서울특별시 양천구 오목로 224, 1층 (신정동)",,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00
목사골한국약국,061-337-9449,전남광주통합특별시 나주시 나주로 204 (성북동),전라남도 나주시 나주로 204(성북동),09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,21:00~24:00,09:00~24:00
목천종로약국,041-523-9414,충청남도 천안시 동남구 목천읍 충절로 881,충청남도 천안시 동남구 목천읍 140-1 명성빌딩1층,09:00~22:00,09:00~22:00,09:00~22:30,09:00~22:00,09:00~22:00,09:00~20:00,09:00~21:00,09:30~21:00
문덕365약국,054-610-2497,"경상북도 포항시 남구 오천읍 문덕로 3, 102호",,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00,12:00~23:00
미건메디컬약국,031-846-9001,"경기도 의정부시 평화로 647, 107,108호 (의정부동, 미건메디컬프라자)",,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~18:00,09:00~18:00,09:00~18:00
미래팜대학약국,031-717-7570,"경기도 성남시 분당구 돌마로 46, 101호 (구미동, 광천프라자)",,09:00~21:00,09:00~21:00,09:00~21:00,09:00~22:30,09:00~21:00,09:00~16:00,09:30~14:30,09:30~21:00
미방약국,033-333-2911,강원특별자치도 평창군 대화면 대화시장1길 10,강원특별자치도 평창군 대화면 대화1리 1001-8,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~20:00
미소약국,053-657-2089,"대구광역시 남구 월배로 468, 한영유니죤빌딩 105호 (대명동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~18:00,09:00~18:00,09:00~18:00
미소약국,051-866-5156,"부산광역시 부산진구 양지로5번길 31, (양정동)",부산광역시 부산진구 양정1동 353-1,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,22:00~25:00,
미유약국,051-717-3369,"부산광역시 해운대구 구남로 26, 1층 (우동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
믿음약국,02-888-2104,서울특별시 관악구 봉천로 534 (봉천동),서울특별시 관악구 낙성대동 1612-52,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,,09:30~21:00
밀성메디칼약국,055-356-4950,경상남도 밀양시 중앙로 381,경상남도 밀양시 내이동 726~3,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,14:00~23:00,09:00~23:00
바로약국,063-000-0000,"전북특별자치도 전주시 완산구 홍산중앙로 22, 1층 (효자동3가)",,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~24:00,09:00~24:00,14:00~20:00,14:00~20:00
바른손약국,032-343-4217,경기도 부천시 소사구 경인로 508 (괴안동),경기도 부천시 괴안동 114-6 ,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:30~21:30,08:00~22:30,08:00~22:30
반야월경북약국,053-262-8584,"대구광역시 동구 반야월로 128, 1층 (신기동)",대구광역시 동구 율하동 122번지,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
밝은365약국,042-322-4560,"대전광역시 서구 대덕대로 222, 강남프라자 106호 (둔산동)",,08:30~28:00,08:30~28:00,08:30~28:00,08:30~28:00,08:30~28:00,08:30~28:00,08:30~28:00,08:30~28:00
밝은약국,043-262-9957,"충청북도 청주시 흥덕구 사운로 254, 1층 (운천동, 손범수내과소아과의원)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
백세약국,02-3421-7015,"서울특별시 중랑구 신내로 82, 1층 109호 (신내동, 금강빌딩)",,08:50~23:00,08:50~23:00,08:50~23:00,08:50~23:00,08:50~23:00,09:00~22:00,09:00~22:00,09:00~23:00
백운약국,061-655-2999,전남광주통합특별시 여수시 여서1로 52 (여서동),전라남도 여수시 여서동 228,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
백제약국,032-655-1145,"경기도 부천시 부천로10번길 9, 1층 (심곡동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:30~22:00,09:30~21:00,10:00~22:00
백화점약국,031-631-1527,경기도 이천시 경충대로 2545 (중리동),,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
백화점약국,031-407-6077,"경기도 안산시 상록구 석호로 292, 1층 (본오동)",경기도 안산시 상록구 본오동 870,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,07:30~23:00,08:30~23:00,09:00~22:00
벌교365약국,061-858-0566,전남광주통합특별시 보성군 벌교읍 채동선로 222-1,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
베리영약국,050-71336-3119,"인천광역시 영종구 은하수로29번길 31, RGB SKY HOTEL 107호 (중산동)",,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,
베스트소망약국,031-943-2729,"경기도 파주시 새꽃로 62, 107호 (금촌동)",,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,21:00~24:00,22:00~25:00
별온누리약국,032-832-9933,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A-110,111,112호 (송도동)",,08:30~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,08:30~25:00,09:00~25:00,09:00~25:00
보건약국,031-449-9793,경기도 안양시 만안구 안양로314번길 26 (안양동),,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,09:00~14:30,09:30~22:30,09:30~22:30
보광약국,062-223-3735,"전남광주통합특별시 동구 충장로58번길 20, (충장로4가)",광주광역시 동구 충장로4가 30-3,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,14:00~21:00,,
보광약국,032-427-9729,"인천광역시 남동구 경인로 586, (간석동)",인천광역시 남동구 간석1동 434-6,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,22:00~25:00,22:00~25:00,
보람약국,061-462-0649,전남광주통합특별시 영암군 삼호읍 대불주거로 98,전라남도 영암군 삼호읍 용앙리 434번지 25호,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,08:30~18:00,20:00~23:00,20:00~23:00
보명당한약국,054-855-3358,경상북도 안동시 광명로 161,경상북도 안동시 옥동 616번지 10호,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,14:00~23:00,10:00~18:00
보배약국,070-4090-3156,"인천광역시 계양구 봉오대로 659, 1층 일부호 (작전동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~13:00,22:00~25:00,
복광당약국,053-857-1150,경상북도 경산시 자인면 일연로 80,,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,22:00~25:00,09:00~18:00,09:00~18:00,22:00~25:00
복음약국,053-252-1325,대구광역시 중구 달성로 29 (대신동),,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,10:00~24:00,12:00~24:00,12:00~24:00
본리심야약국,053-523-1101,"대구광역시 달서구 용산로 52, 1층 (장기동)",,16:00~25:00,16:00~25:00,16:00~25:00,16:00~25:00,16:00~25:00,14:00~25:00,14:00~25:00,14:00~24:00
